diff,group,variable,dev-MC_100km_jra_ryf/ice_in,ACCESS-OM2_1deg_jra55_ryf/ice/cice_in.nml
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_bgc_nml"", ""&icefields_bgc_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_bgc_sil_ml"", ""f_bgc_sil_ml"")",,x
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_bgc_nml"", ""&icefields_bgc_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_bgc_sil_sk"", ""f_bgc_sil_sk"")",,x
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_bgc_nml"", ""&icefields_bgc_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_bphi"", ""f_bphi"")",,x
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_bgc_nml"", ""&icefields_bgc_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_btin"", ""f_btin"")",,x
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_bgc_nml"", ""&icefields_bgc_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_faero_atm"", ""f_faero_atm"")",,x
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_bgc_nml"", ""&icefields_bgc_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_faero_ocn"", ""f_faero_ocn"")",,x
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_bgc_nml"", ""&icefields_bgc_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_fbri"", ""f_fbri"")",,x
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_bgc_nml"", ""&icefields_bgc_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_fn"", ""f_fn"")",,x
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_bgc_nml"", ""&icefields_bgc_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_fn_ai"", ""f_fn_ai"")",,x
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_bgc_nml"", ""&icefields_bgc_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_fnh"", ""f_fnh"")",,x
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_bgc_nml"", ""&icefields_bgc_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_fnh_ai"", ""f_fnh_ai"")",,x
