diff,group,variable,MOM6-CICE6_cice_config/ice_in,ACCESS-OM2_1deg_jra55_ryf/ice/cice_in.nml,MOM6-CICE6_1deg_jra55do_ryf/ice_in
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=saltflux_option"", ""saltflux_option"")",,,prognostic
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=sss_data_type"", ""sss_data_type"")",,default,
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=sst_data_type"", ""sst_data_type"")",,default,
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=tfrz_option"", ""tfrz_option"")",linear_salt,linear_salt,mushy
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=trestore"", ""trestore"")",,0,
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=update_ocn_f"", ""update_ocn_f"")",True,True,True
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ustar_min"", ""ustar_min"")",0.005,0.0005,0.005
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=wave_spec_file"", ""wave_spec_file"")",,,unknown_wave_spec_file
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=wave_spec_type"", ""wave_spec_type"")",,,none
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=forcing_nml"", ""&forcing_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ycycle"", ""ycycle"")",,1,
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=bathymetry_file"", ""bathymetry_file"")",./input/topog.nc,,./input/topog.nc
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=bathymetry_format"", ""bathymetry_format"")",,,default
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=close_boundaries"", ""close_boundaries"")",,,False
