diff,group,variable,dev-MC_25km_jra_ryf/docs/MOM_parameter_doc.all,dev-MC_100km_jra_ryf/docs/MOM_parameter_doc.all,MOM6-examples/ice_ocean_SIS2/OM4_05/MOM_parameter_doc.all
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")","=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=diag_coord_def_rho2"", ""diag_coord_def_rho2"")","RFNC1:76,999.5,1020.,1034.1,3.1,1041.,0.002",,"RFNC1:35,999.5,1028,1028.5,8.,1038.,0.0078125"
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")","=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=diag_coord_p_ref_rho2"", ""diag_coord_p_ref_rho2"")",20000000.0,,20000000.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")","=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=diag_coord_regrid_compressibility_fraction_rho2"", ""diag_coord_regrid_compressibility_fraction_rho2"")",0.0,,0.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")","=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=meke_gmcoeff"", ""meke_gmcoeff"")",1.0,0.0,1.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")","=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=meke_geometric"", ""meke_geometric"")",False,True,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")","=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=meke_equilibrium_alt"", ""meke_equilibrium_alt"")",False,True,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")","=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=meke_equilibrium_restoring"", ""meke_equilibrium_restoring"")",False,True,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")","=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=meke_bgsrc"", ""meke_bgsrc"")",1e-13,0.0,1e-13
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")","=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=meke_positive"", ""meke_positive"")",False,,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")","=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=meke_visc_drag"", ""meke_visc_drag"")",True,False,True
