diff,group,variable,ACCESS-OM2_1deg_jra55_ryf/ocean/input.nml,ACCESS-OM2_025deg_jra55_ryf/ocean/input.nml,ACCESS-OM2_01deg_jra55_ryf/ocean/input.nml
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysicsc_nml"", ""&ocean_nphysicsc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=bvp_speed"", ""bvp_speed"")",0.0,0.0,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysicsc_nml"", ""&ocean_nphysicsc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=do_gm_skewsion"", ""do_gm_skewsion"")",True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysicsc_nml"", ""&ocean_nphysicsc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=do_neutral_diffusion"", ""do_neutral_diffusion"")",True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysicsc_nml"", ""&ocean_nphysicsc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=epsln_bv_freq"", ""epsln_bv_freq"")",1e-12,1e-12,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysicsc_nml"", ""&ocean_nphysicsc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=gm_skewsion_bvproblem"", ""gm_skewsion_bvproblem"")",True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysicsc_nml"", ""&ocean_nphysicsc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=gm_skewsion_modes"", ""gm_skewsion_modes"")",False,False,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysicsc_nml"", ""&ocean_nphysicsc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=neutral_eddy_depth"", ""neutral_eddy_depth"")",True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysicsc_nml"", ""&ocean_nphysicsc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=neutral_physics_limit"", ""neutral_physics_limit"")",True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysicsc_nml"", ""&ocean_nphysicsc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=number_bc_modes"", ""number_bc_modes"")",2,2,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysicsc_nml"", ""&ocean_nphysicsc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=regularize_psi"", ""regularize_psi"")",False,False,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysicsc_nml"", ""&ocean_nphysicsc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=smax_psi"", ""smax_psi"")",0.01,0.01,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysicsc_nml"", ""&ocean_nphysicsc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=smooth_psi"", ""smooth_psi"")",True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysicsc_nml"", ""&ocean_nphysicsc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=tmask_neutral_on"", ""tmask_neutral_on"")",True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysicsc_nml"", ""&ocean_nphysicsc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=turb_blayer_min"", ""turb_blayer_min"")",50.0,50.0,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysicsc_nml"", ""&ocean_nphysicsc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=use_this_module"", ""use_this_module"")",True,True,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_sbc_nml"", ""&ocean_sbc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=do_bitwise_exact_sum"", ""do_bitwise_exact_sum"")",True,False,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_sbc_nml"", ""&ocean_sbc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=max_delta_salinity_restore"", ""max_delta_salinity_restore"")",-0.5,0.5,0.5
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_sbc_nml"", ""&ocean_sbc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_ice_salt_limit"", ""ocean_ice_salt_limit"")",,0.006,0.006
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_sbc_nml"", ""&ocean_sbc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=runoffspread"", ""runoffspread"")",,,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_sbc_nml"", ""&ocean_sbc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=salt_restore_tscale"", ""salt_restore_tscale"")",21.28,21.28,10.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_sigma_transport_nml"", ""&ocean_sigma_transport_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=use_this_module"", ""use_this_module"")",True,False,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_submesoscale_nml"", ""&ocean_submesoscale_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=smooth_advect_transport_num"", ""smooth_advect_transport_num"")",2,4,4
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_submesoscale_nml"", ""&ocean_submesoscale_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=smooth_psi_num"", ""smooth_psi_num"")",2,3,3
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_tracer_diag_nml"", ""&ocean_tracer_diag_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=diag_step"", ""diag_step"")",4320,4320,576
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_velocity_diag_nml"", ""&ocean_velocity_diag_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=diag_step"", ""diag_step"")",4320,4320,576
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_velocity_diag_nml"", ""&ocean_velocity_diag_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=energy_diag_step"", ""energy_diag_step"")",4320,4320,5760
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_vert_mix_nml"", ""&ocean_vert_mix_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=j09_bgmax"", ""j09_bgmax"")",5e-06,,1e-06
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_vert_mix_nml"", ""&ocean_vert_mix_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=j09_bgmin"", ""j09_bgmin"")",1e-06,,1e-06
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_vert_mix_nml"", ""&ocean_vert_mix_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=j09_diffusivity"", ""j09_diffusivity"")",True,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_vert_mix_nml"", ""&ocean_vert_mix_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=j09_lat"", ""j09_lat"")",20.0,,20.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=xgrid_nml"", ""&xgrid_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=do_alltoall"", ""do_alltoall"")",,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=xgrid_nml"", ""&xgrid_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=do_alltoallv"", ""do_alltoallv"")",,,True
