diff,group,variable,ACCESS-OM2_01deg_jra55v13_ryf9091/ocean/input.nml,ACCESS-OM2_release-01deg_jra55_ryf/ocean/input.nml
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihgen_friction_nml"", ""&ocean_bihgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=k_smag_aniso"", ""k_smag_aniso"")",0.0,0.0
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihgen_friction_nml"", ""&ocean_bihgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=k_smag_iso"", ""k_smag_iso"")",2.0,2.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihgen_friction_nml"", ""&ocean_bihgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ncar_boundary_scaling"", ""ncar_boundary_scaling"")",True,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihgen_friction_nml"", ""&ocean_bihgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ncar_boundary_scaling_read"", ""ncar_boundary_scaling_read"")",False,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihgen_friction_nml"", ""&ocean_bihgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ncar_rescale_power"", ""ncar_rescale_power"")",2,2
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihgen_friction_nml"", ""&ocean_bihgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ncar_vconst_4"", ""ncar_vconst_4"")",2e-08,2e-08
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihgen_friction_nml"", ""&ocean_bihgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ncar_vconst_5"", ""ncar_vconst_5"")",5,5
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihgen_friction_nml"", ""&ocean_bihgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=use_this_module"", ""use_this_module"")",True,True
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihgen_friction_nml"", ""&ocean_bihgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=vel_micom_aniso"", ""vel_micom_aniso"")",0.0,0.0
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihgen_friction_nml"", ""&ocean_bihgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=vel_micom_bottom"", ""vel_micom_bottom"")",0.0,0.0
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihgen_friction_nml"", ""&ocean_bihgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=vel_micom_iso"", ""vel_micom_iso"")",0.0,0.0
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihgen_friction_nml"", ""&ocean_bihgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=visc_crit_scale"", ""visc_crit_scale"")",1.0,1.0
