diff,group,group link,variable,variable link,configs/MOM6-examples/ocean_only/global/MOM_input,configs/mom6-om4-025/MOM_input,configs/mom6-panan/MOM_input,configs/mom6-eac/MOM_input,configs/MOM6-CICE6_1deg_jra55do_ryf/MOM_input
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",kappa_shear_iter_bug,https://github.com/mom-ocean/MOM6/search?q=kappa_shear_iter_bug,,True,,,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",kd,https://github.com/mom-ocean/MOM6/search?q=kd,2e-05,1.5e-05,1.5e-05,1.5e-05,2e-05
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",kd_max,https://github.com/mom-ocean/MOM6/search?q=kd_max,,0.1,0.1,0.1,0.1
,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",kd_min,https://github.com/mom-ocean/MOM6/search?q=kd_min,2e-06,2e-06,2e-06,2e-06,2e-06
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",kdml,https://github.com/mom-ocean/MOM6/search?q=kdml,,,,,0.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",kh_res_scale_coef,https://github.com/mom-ocean/MOM6/search?q=kh_res_scale_coef,,,,,0.4
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",kh_vel_scale,https://github.com/mom-ocean/MOM6/search?q=kh_vel_scale,0.01,,,,0.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",khth,https://github.com/mom-ocean/MOM6/search?q=khth,10.0,,,,0.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",khth_max,https://github.com/mom-ocean/MOM6/search?q=khth_max,900.0,,,,0.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",khth_max_cfl,https://github.com/mom-ocean/MOM6/search?q=khth_max_cfl,,0.1,0.1,0.1,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",khth_slope_cff,https://github.com/mom-ocean/MOM6/search?q=khth_slope_cff,0.25,,,,0.01
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",khth_use_ebt_struct,https://github.com/mom-ocean/MOM6/search?q=khth_use_ebt_struct,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",khth_use_fgnv_streamfunction,https://github.com/mom-ocean/MOM6/search?q=khth_use_fgnv_streamfunction,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",khtr,https://github.com/mom-ocean/MOM6/search?q=khtr,10.0,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",khtr_max,https://github.com/mom-ocean/MOM6/search?q=khtr_max,900.0,,,,0.0
